Category,Metric,Value,Source,Description
gem5_stats,system.cpu.commitStats0.committedInstType::SimdReduceAlu,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdReduceCmp,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatReduceAdd,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdFloatReduceCmp,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdAes,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdAesMix,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdSha1Hash,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdSha1Hash2,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdSha256Hash,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdSha256Hash2,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdShaSigma2,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdShaSigma3,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::SimdPredAlu,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::Matrix,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::MatrixMov,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::MatrixOP,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::MemRead,1084.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::MemWrite,943.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatMemRead,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::FloatMemWrite,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::IprAccess,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.commitStats0.committedInstType::InstPrefetch,0.0,stats.txt,gem5 simulation statistic
